incomeperperson;internetuserate;urbanrate
760.262.365;895.914;43.84
;;62.68
1.637.249.978;82.515.928;81.46
;3.826.023.355;98.36
372.728.414;1.958.231.645;36.28
5.548.798.401;6.999.880.342;30.88
5.011.219.456;7.151.472.354;68.12
6.746.612.632;3.100.437.828;86.96
4.957.342.469;3.860.565.398;25.46
1.550.332.312;7.000.213.821;60.14
7.885.468.037;1.400.024.673;77.54
8.164.710.003;80;14.32
5.332.238.591;6.281.190.001;66.96
5.230.158.718;9.007.952.663;82.44
3.392.331.387;5.676.408.235;100
2.221.185.664;5.191.418.432;66.9
2.426.775.342;1.699.985.145;29.52
1.841.417.966;2.259.975.885;18.8
5.184.709.328;563.000.337;70.36
4.038.857.818;2.828.970.095;37.86
2.698.928.811;2.699.966.448;32.18
1.106.678.414;6.307.799.279;94.26
2.437.282.445;;71.08
;;
6.091.312.059;2.999.803.179;41
5.182.143.721;287.318.835;42.48
6.105.280.743;3.105.001.287;77.2
2.146.358.593;2.001.153.153;22.54
5.958.745.345;401.222.347;41.76
1.051.474.377;;100
7.729.333.448;1.290.000.468;57.18
2.222.335.052;5.195.803.797;60.18
1.844.351.028;4.900.063.184;56.02
3.897.636.343;4.170.136.385;36.84
;;32.58
266.724.671;6.500.822.821;36.84
;;
2.682.594.495;7.930.096.349;17.24
2.655.184.424;9.070.355.509;81.82
;;92.68
;;64.78
1.477.816.393;8.300.258.425;86.56
948.355.952;9.998.554.154;56.74
180.083.376;0.829997485;16.54
5.445.994.767;2.843.003.266;48.36
;;
3.997.235.277;9.327.750.793;77.48
1.119.181.101;6.198.741.286;71.62
668.547.943;1.678.003.702;36.16
6.243.571.318;;80.46
5.900.616.944;4.274.781.206;73.2
7.442.394.132;1.280.049.647;12.54
1.621.177.078;1.980.168.119;60.3
3.180.430.612;3.430.060.399;71.4
1.383.401.869;2.499.994.585;64.92
6.575.745.044;6.247.123.013;61.32
1.174.483.417;512.804.784;59.46
1.582.211.214;4.269.233.477;98.32
3.393.183.208;8.159.039.727;95.64
;;
26.367.878;4.002.009.488;54.24
2.923.144.355;4.336.649.772;72.84
3.382.663.912;1.300.000.612;18.34
9.175.796.015;7.658.753.846;32.32
5.248.582.321;4.006.137.931;27.84
4.885.046.701;;47.04
1.784.071.284;6.965.038.043;23
3.199.320.069;;94.22
;1.879.511.364;60.56
942.532.587;4.100.012.846;82.42
5.617.085.848;1.599.964.999;42.38
1.194.711.433;4.305.506.706;52.04
;;
8.614.120.219;4.077.285.057;54.34
2.683.317.903;;37.76
3.253.583.251;7.113.170.731;100
8.445.526.689;7.988.977.734;56.56
127.294.544;6.933.997.072;48.6
1.144.102.193;5.001.375.465;17.96
;;36.52
3.745.649.852;1.233.489.326;60.74
1.546.175.837;6.580.855.367;77.12
1.295.742.686;1.199.997.066;15.1
5.239.501.515;;43.44
2.668.020.519;315.680.976;74.92
1.810.230.533;9.007.735.909;24.94
3.229.248.298;9.001.619.002;84.54
3.766.275.125;8.216.665.988;73.48
1.525.780.116;2.066.315.568;54.22
;;
2.791.804.526;1.154.939.051;26.46
4.563.857.117;1.100.005.544;25.52
2.712.517.199;2.120.007.177;33.32
3.695.729.537;0.210066326;27.3
2.852.244.493;5.379.819.715;42
2.025.282.665;1.200.669.231;24.78
104.808.172;4.851.681.767;13.22
3.164.927.693;3.656.255.296;66.5
5.348.597.192;3.982.017.789;68.68
2.062.125.152;2.199.997.818;48.62
171.494.289;25;
3.774.211.133;1.250.025.543;12.98
1.036.830.725;4.458.535.469;67.98
2.108.739.412;7.799.678.115;77.88
2.803.348.928;8.473.170.475;89.94
3.749.117.952;74.247.572;81.7
9.106.327.234;4.786.746.863;92.3
9.528.272.608;1.944.502.055;36.82
1.543.956.457;7.988.366.667;24.76
5.528.363.114;3.585.043.696;93.32
7.228.075.588;2.785.182.156;27.84
;3.642.277.179;71.9
6.103.573.673;1.234.975.046;30.64
432.226.337;1.012.498.646;35.42
3.207.718.899;1.150.041.532;37.34
